7c74fa8e.0	7c74fa8e.0	NSFTV194	Hg 24	RDP1	admixed	1	O. sativa	4	4.5
c7301040.0	c7301040.0	NSFTV272	923	RDP1	admixed	1	O. sativa	3.4	2.8
17627a92.0	17627a92.0	NSFTV278	C1-6-5-3	RDP1	admixed	1	O. sativa	2.1	2.8
642238d9.0	642238d9.0	NSFTV279	Kon Suito	RDP1	admixed	1	O. sativa	8	48
4b0a7350.0	4b0a7350.0	NSFTV340	Berenj	RDP1	admixed	1	O. sativa	0.7	0.7
a0f35768.0	a0f35768.0	NSFTV344	Habiganj Boro 6	RDP1	admixed	1	O. sativa	0.8	0.5
5c592759.0	5c592759.0	NSFTV390	CI 11026	RDP1	admixed	1	O. sativa	2.3	6.9
dfb13733.0	dfb13733.0	NSFTV41	Darmali	RDP1	admixed	1	O. sativa	1.7	1.2
12c4cd0b.0	12c4cd0b.0	NSFTV617	MCR010277	RDP1	admixed	1	O. sativa	8	7.8
02d095ba.0	02d095ba.0	NSFTV80	K 65	RDP1	admixed	1	O. sativa	0.9	0.7
0c85e164.0	0c85e164.0	NSFTV95	NSFTV95	RDP1	admixed	1	O. sativa	9.4	29
61152244.0	61152244.0	NSFTV166	Tsipala 421	RDP1	admixed-indica	0.966	O. sativa	2.2	1.6
37249a74.0	37249a74.0	NSFTV206	Rojofotsy 738	RDP1	admixed-indica	0.97	O. sativa	0.8	0.8
a7983b03.0	a7983b03.0	NSFTV227	Riz Local	RDP1	admixed-indica	1	O. sativa	2.3	1.8
fe70ec33.0	fe70ec33.0	NSFTV259	Sadri Tor Misri	RDP1	admixed-indica	1	O. sativa	0.9	0.8
4c188d7c.0	4c188d7c.0	NSFTV293	TOg 7178	RDP1	admixed-indica	1	O. sativa	7	5.9
7e956f22.0	7e956f22.0	NSFTV332	KPF-16	RDP1	admixed-indica	1	O. sativa	2.1	1.6
1f10be3d.0	1f10be3d.0	NSFTV100	Lacrosse	RDP1	admixed-japonica	1	O. sativa	0.8	0.4
eac19fb8.0	eac19fb8.0	NSFTV114	Nova	RDP1	admixed-japonica	1	O. sativa	0.6	0.4
280279b3.0	280279b3.0	NSFTV121	Ostiglia	RDP1	admixed-japonica	0.85	O. sativa	9.2	10.3
76a1efc9.0	76a1efc9.0	NSFTV128	Pato De Gallinazo	RDP1	admixed-japonica	1	O. sativa	1.1	1.5
024bbd20.0	024bbd20.0	NSFTV182	Blue Rose Supreme	RDP1	admixed-japonica	1	O. sativa	0.7	0.3
6af7c9fc.0	6af7c9fc.0	NSFTV20	Blue Rose	RDP1	admixed-japonica	1	O. sativa	0.6	0.3
5497b233.0	5497b233.0	NSFTV211	Tokyo Shino Mochi	RDP1	admixed-japonica	0.944	O. sativa	0.7	0.6
915c0033.0	915c0033.0	NSFTV217	YRL-1	RDP1	admixed-japonica	0.95	O. sativa	0.8	0.5
85da3a70.0	85da3a70.0	NSFTV218	PI 298967-1	RDP1	admixed-japonica	1	O. sativa	0.6	0.3
eb17cda6.0	eb17cda6.0	NSFTV236	WC 521	RDP1	admixed-japonica	1	O. sativa	0.6	0.4
dc2cf39b.0	dc2cf39b.0	NSFTV237	Estrela	RDP1	admixed-japonica	0.871	O. sativa	1.9	1.5
5efe8622.0	5efe8622.0	NSFTV244	Arabi	RDP1	admixed-japonica	0.805	O. sativa	2.1	6.9
1911c363.0	1911c363.0	NSFTV253	Guineandao	RDP1	admixed-japonica	0.99	O. sativa	4.6	3.6
f2f12364.0	f2f12364.0	NSFTV264	Baldo	RDP1	admixed-japonica	1	O. sativa	0.6	0.2
544f48c0.0	544f48c0.0	NSFTV265	Vialone	RDP1	admixed-japonica	0.908	O. sativa	6.6	5.8
f7da2506.0	f7da2506.0	NSFTV266	Hiderisirazu	RDP1	admixed-japonica	1	O. sativa	0.8	0.5
85959164.0	85959164.0	NSFTV281	Patna	RDP1	admixed-japonica	0.833	O. sativa	9.6	10.6
8288d278.0	8288d278.0	NSFTV305	Doble Carolina Rinaldo Barsani	RDP1	admixed-japonica	1	O. sativa	0.9	0.8
1e26852c.0	1e26852c.0	NSFTV335	Okshitmayin	RDP1	admixed-japonica	0.841	O. sativa	2.8	3.1
14e43b02.0	14e43b02.0	NSFTV364	Rikuto Norin 21	RDP1	admixed-japonica	0.951	O. sativa	0.8	0.6
e59cbfbe.0	e59cbfbe.0	NSFTV367	Sanbyang-Daeme	RDP1	admixed-japonica	0.979	O. sativa	1.6	1.2
de696d95.0	de696d95.0	NSFTV376	Breviaristata	RDP1	admixed-japonica	1	O. sativa	1.2	1
a08839ce.0	a08839ce.0	NSFTV387	M-202	RDP1	admixed-japonica	0.944	O. sativa	1.6	1.1
3afe3c0b.0	3afe3c0b.0	NSFTV388	NSFTV388	RDP1	admixed-japonica	0.945	O. sativa	0.9	0.5
76f56677.0	76f56677.0	NSFTV40	Dam	RDP1	admixed-japonica	0.982	O. sativa	0.7	0.5
63f63dde.0	63f63dde.0	NSFTV48	NSFTV48	RDP1	admixed-japonica	0.9	O. sativa	3.4	3.8
ef8fd965.0	ef8fd965.0	NSFTV55	Gerdeh	RDP1	admixed-japonica	0.709	O. sativa	1.1	0.9
7f7fb805.0	7f7fb805.0	NSFTV60	Gotak Gatik	RDP1	admixed-japonica	1	O. sativa	1	2.3
a4acb3d5.0	a4acb3d5.0	NSFTV618	Pecos	RDP1	admixed-japonica	0.937	O. sativa	8.1	7.9
fb21dae1.0	fb21dae1.0	NSFTV622	Bengal	RDP1	admixed-japonica	0.958	O. sativa	2.2	1.7
9b34fda6.0	9b34fda6.0	NSFTV627	Early	RDP1	admixed-japonica	0.921	O. sativa	4.9	4.2
ce3f9303.0	ce3f9303.0	NSFTV629	Panda	RDP1	admixed-japonica	1	O. sativa	0.8	0.6
1fbe21f5.0	1fbe21f5.0	NSFTV631	Dragon Eyeball 100	RDP1	admixed-japonica	0.899	O. sativa	6.5	6.2
64fa0112.0	64fa0112.0	NSFTV87	Keriting Tingii	RDP1	admixed-japonica	0.966	O. sativa	1.2	1
531e23fa.0	531e23fa.0	NSFTV112	N12	RDP1	aromatic	1	O. sativa	2	1.5
6c91b63d.0	6c91b63d.0	NSFTV124	Pankhari 203	RDP1	aromatic	1	O. sativa	3.5	2.9
f0328a18.0	f0328a18.0	NSFTV16	Bico Branco	RDP1	aromatic	1	O. sativa	4.1	4.3
f659d521.0	f659d521.0	NSFTV160	NSFTV160	RDP1	aromatic	0.949	O. sativa	0.7	0.7
97ce6839.0	97ce6839.0	NSFTV191	Dom Zard	RDP1	aromatic	1	O. sativa	0.7	0.5
311aaf30.0	311aaf30.0	NSFTV221	Sadri Belyi	RDP1	aromatic	0.886	O. sativa	8.4	18.5
bfa16661.0	bfa16661.0	NSFTV260	NSFTV260	RDP1	aromatic	1	O. sativa	5.2	3.6
c20dfc59.0	c20dfc59.0	NSFTV373	Lambayeque 1	RDP1	aromatic	1	O. sativa	1.3	0.9
8d6aded4.0	8d6aded4.0	NSFTV45	Dom Sufid	RDP1	aromatic	1	O. sativa	1.6	1.2
5533f406.0	5533f406.0	NSFTV5	NSFTV5	RDP1	aromatic	1	O. sativa	4.9	3.8
61b7bf53.0	61b7bf53.0	NSFTV53	Firooz	RDP1	aromatic	1	O. sativa	3.3	2.4
9f1f4614.0	9f1f4614.0	NSFTV93	NSFTV93	RDP1	aromatic	1	O. sativa	1.2	1.1
16463092.0	16463092.0	NSFTV105	Mehr	RDP1	aus	0.898	O. sativa	1	1
660f0236.0	660f0236.0	NSFTV13	NSFTV13	RDP1	aus	1	O. sativa	3.4	2.4
d09d62e7.0	d09d62e7.0	NSFTV131	Phudugey	RDP1	aus	1	O. sativa	0.8	0.8
e4533c8b.0	e4533c8b.0	NSFTV152	T 1	RDP1	aus	1	O. sativa	8.1	6.8
40f343f4.0	40f343f4.0	NSFTV153	T26	RDP1	aus	1	O. sativa	1.1	3.6
480f7505.0	480f7505.0	NSFTV178	ARC 6578	RDP1	aus	0.834	O. sativa	1	1
cbd6b346.0	cbd6b346.0	NSFTV18	BJ 1	RDP1	aus	1	O. sativa	0.7	0.6
d22c8e33.0	d22c8e33.0	NSFTV19	Black Gora	RDP1	aus	1	O. sativa	1.3	1
c8a73fe7.0	c8a73fe7.0	NSFTV200	P 737	RDP1	aus	0.936	O. sativa	7.6	7.7
195567bf.0	195567bf.0	NSFTV228	CA 902/B/2/1	RDP1	aus	1	O. sativa	0.7	0.6
e0815776.0	e0815776.0	NSFTV246	Saraya	RDP1	aus	1	O. sativa	1.9	1.8
ceb798a3.0	ceb798a3.0	NSFTV261	Shim Balte	RDP1	aus	1	O. sativa	0.6	0.6
f30e146b.0	f30e146b.0	NSFTV262	Halwa Gose Red	RDP1	aus	0.979	O. sativa	2.2	1.8
fc26ce23.0	fc26ce23.0	NSFTV276	Kaukau	RDP1	aus	0.888	O. sativa	1.5	1.2
b6701089.0	b6701089.0	NSFTV28	Champa Tong 54	RDP1	aus	1	O. sativa	0.9	0.7
ea28671d.0	ea28671d.0	NSFTV314	CTG 1516	RDP1	aus	1	O. sativa	3.3	2.9
b828b757.0	b828b757.0	NSFTV316	DD 62	RDP1	aus	1	O. sativa	4.5	4.2
b956dfb5.0	b956dfb5.0	NSFTV317	DJ 123	RDP1	aus	1	O. sativa	0.6	0.6
3eb8fab5.0	3eb8fab5.0	NSFTV318	DJ 24	RDP1	aus	1	O. sativa	1.9	1.6
c7aeb39f.0	c7aeb39f.0	NSFTV319	DK 12	RDP1	aus	1	O. sativa	0.8	0.7
cf44b628.0	cf44b628.0	NSFTV320	DM 43	RDP1	aus	1	O. sativa	1.9	1.6
1f6f13c3.0	1f6f13c3.0	NSFTV321	DM 56	RDP1	aus	1	O. sativa	1.4	1.2
72cef953.0	72cef953.0	NSFTV322	DM 59	RDP1	aus	1	O. sativa	0.8	0.7
1510e4aa.0	1510e4aa.0	NSFTV323	DNJ 140	RDP1	aus	0.971	O. sativa	4.4	3.9
0defa551.0	0defa551.0	NSFTV324	DV 123	RDP1	aus	1	O. sativa	1.2	1
aeed4684.0	aeed4684.0	NSFTV326	Ghorbhai	RDP1	aus	1	O. sativa	1.1	0.8
fb2b3d82.0	fb2b3d82.0	NSFTV327	Goria	RDP1	aus	1	O. sativa	1.4	1.2
1e4f3933.0	1e4f3933.0	NSFTV328	Jamir	RDP1	aus	1	O. sativa	2.9	2
3e58f34c.0	3e58f34c.0	NSFTV329	Kachilon	RDP1	aus	1	O. sativa	1.1	1
2b4e06fe.0	2b4e06fe.0	NSFTV33	Chuan 4	RDP1	aus	1	O. sativa	1.4	1.2
084e8b29.0	084e8b29.0	NSFTV330	Khao Pahk Maw	RDP1	aus	0.821	O. sativa	2	1.6
d438bfed.0	d438bfed.0	NSFTV331	Khao Tot Long 227	RDP1	aus	1	O. sativa	7.4	6.5
fa180a1e.0	fa180a1e.0	NSFTV336	Paung Malaung	RDP1	aus	1	O. sativa	1.1	0.8
9f786a86.0	9f786a86.0	NSFTV341	Shirkati	RDP1	aus	1	O. sativa	1.2	1
4e35b58a.0	4e35b58a.0	NSFTV345	DZ 193	RDP1	aus	1	O. sativa	3	2.1
80fc89ae.0	80fc89ae.0	NSFTV346	Karkati 87	RDP1	aus	1	O. sativa	0.7	0.6
af77442b.0	af77442b.0	NSFTV353	ARC 10376	RDP1	aus	1	O. sativa	7.1	5
cc0ef8cf.0	cc0ef8cf.0	NSFTV357	9524	RDP1	aus	0.887	O. sativa	3.5	2.7
c86f37d0.0	c86f37d0.0	NSFTV359	Surjamkuhi	RDP1	aus	1	O. sativa	0.8	0.6
6f068769.0	6f068769.0	NSFTV360	PTB 30	RDP1	aus	1	O. sativa	1	0.9
dd2bfbfb.0	dd2bfbfb.0	NSFTV369	Sathi	RDP1	aus	1	O. sativa	3.1	2.4
bd7aaa87.0	bd7aaa87.0	NSFTV370	Coarse	RDP1	aus	1	O. sativa	3.4	3
84ad8457.0	84ad8457.0	NSFTV371	Santhi Sufaid	RDP1	aus	1	O. sativa	4.3	4.4
e8f708a5.0	e8f708a5.0	NSFTV372	Sufaid	RDP1	aus	1	O. sativa	2.2	1.8
eca85a73.0	eca85a73.0	NSFTV378	Kalubala Vee	RDP1	aus	0.891	O. sativa	0.9	0.8
014ab0f1.0	014ab0f1.0	NSFTV39	NSFTV39	RDP1	aus	0.716	O. sativa	2.3	1.9
81d03b86.0	81d03b86.0	NSFTV4	NSFTV4	RDP1	aus	0.88	O. sativa	1.4	1.1
7d4c6c4e.0	7d4c6c4e.0	NSFTV44	Dhala Shaitta	RDP1	aus	1	O. sativa	1.8	1.7
21d3f1b3.0	21d3f1b3.0	NSFTV49	DV85	RDP1	aus	1	O. sativa	5.4	6
9c099b78.0	9c099b78.0	NSFTV58	Ghati Kamma Nangarhar	RDP1	aus	0.996	O. sativa	3.8	3.3
0d125c0e.0	0d125c0e.0	NSFTV6	ARC 7229	RDP1	aus	0.88	O. sativa	1.9	1.5
432387a8.0	432387a8.0	NSFTV651	Dular	RDP1	aus	1	O. sativa	2.4	1.8
66d97672.0	66d97672.0	NSFTV78	Jhona 349	RDP1	aus	1	O. sativa	1.6	1.2
006dfe9b.0	006dfe9b.0	NSFTV81	Kalamkati	RDP1	aus	1	O. sativa	3.3	3.1
328163e1.0	328163e1.0	NSFTV85	Kasalath	RDP1	aus	1	O. sativa	1.1	0.8
6e26f4cc.0	6e26f4cc.0	NSFTV102	Leung Pratew	RDP1	indica	0.982	O. sativa	3.1	2.5
8a06320f.0	8a06320f.0	NSFTV106	Ming Hui	RDP1	indica	0.972	O. sativa	1.2	1.2
1d0066e2.0	1d0066e2.0	NSFTV11	Baguamon 14	RDP1	indica	0.952	O. sativa	1.7	1.2
11bf5114.0	11bf5114.0	NSFTV110	Mudgo	RDP1	indica	0.917	O. sativa	0.6	0.5
5b144b9c.0	5b144b9c.0	NSFTV117	O-Luen-Cheung	RDP1	indica	1	O. sativa	3.1	2.6
3aa51818.0	3aa51818.0	NSFTV119	Oryzica Llanos 5	RDP1	indica	0.81	O. sativa	8.6	6.9
714ac141.0	714ac141.0	NSFTV123	Pagaiyahan	RDP1	indica	1	O. sativa	1.2	1.2
63f298ba.0	63f298ba.0	NSFTV125	Pao-Tou-Hung	RDP1	indica	1	O. sativa	2.1	1.5
0f6a67da.0	0f6a67da.0	NSFTV126	Pappaku	RDP1	indica	1	O. sativa	1.1	1.1
8fafd383.0	8fafd383.0	NSFTV129	Peh-Kuh	RDP1	indica	1	O. sativa	2.4	1.9
a796716d.0	a796716d.0	NSFTV130	Peh-Kuh-Tsao-Tu	RDP1	indica	1	O. sativa	1.2	1
02cc7c6d.0	02cc7c6d.0	NSFTV132	Rathuwee	RDP1	indica	0.993	O. sativa	1	1
d72ee9ba.0	d72ee9ba.0	NSFTV136	RTS12	RDP1	indica	0.963	O. sativa	7.8	6.1
8653bbdb.0	8653bbdb.0	NSFTV137	RTS14	RDP1	indica	1	O. sativa	0.9	0.6
1a946dc6.0	1a946dc6.0	NSFTV138	RTS4	RDP1	indica	0.853	O. sativa	1.2	0.9
a8319fc6.0	a8319fc6.0	NSFTV141	Seratoes Hari	RDP1	indica	1	O. sativa	0.7	0.7
806c51cc.0	806c51cc.0	NSFTV142	Shai-Kuh	RDP1	indica	0.971	O. sativa	0.9	0.8
17c4070a.0	17c4070a.0	NSFTV145	Short Grain	RDP1	indica	1	O. sativa	1.3	1
ed1beb9e.0	ed1beb9e.0	NSFTV148	Sintane Diofor	RDP1	indica	0.788	O. sativa	0.7	0.7
93387d96.0	93387d96.0	NSFTV156	Taichung Native 1	RDP1	indica	1	O. sativa	1	1.1
4ef132dc.0	4ef132dc.0	NSFTV159	Tam Cau 9A	RDP1	indica	0.984	O. sativa	3.9	2.8
4f643bf5.0	4f643bf5.0	NSFTV161	TeQing	RDP1	indica	0.987	O. sativa	3.6	3.4
2b28e441.0	2b28e441.0	NSFTV162	TKM6	RDP1	indica	0.946	O. sativa	3.3	2.8
192e24ab.0	192e24ab.0	NSFTV163	Taducan	RDP1	indica	0.962	O. sativa	0.6	0.5
446f6c62.0	446f6c62.0	NSFTV17	Binulawan	RDP1	indica	0.96	O. sativa	4.3	3.1
b238d197.0	b238d197.0	NSFTV171	ZHE 733	RDP1	indica	1	O. sativa	1	0.7
9ac72c9e.0	9ac72c9e.0	NSFTV172	Zhenshan 2	RDP1	indica	0.96	O. sativa	1.7	1.3
661eaeaa.0	661eaeaa.0	NSFTV189	Criollo La Fria	RDP1	indica	0.991	O. sativa	5.4	4.9
cff871e8.0	cff871e8.0	NSFTV196	JM70	RDP1	indica	0.998	O. sativa	3.4	2.7
