FID IID AVERAGE_LENGTH
121316 121316 7.04
121578 121578 4.62
121491 121491 7.18
121440 121440 6.91
121896 121896 5.72
121323 121323 6.78
121251 121251 6.37
121902 121902 6.73
121314 121314 6.49
121899 121899 6.71
121864 121864 5.14
121321 121321 5.51
121773 121773 4.68
121262 121262 5.42
121265 121265 5.42
121472 121472 6.86
121467 121467 5.5
121084 121084 5.27
121426 121426 6.81
121352 121352 5.33
121330 121330 5.66
121332 121332 5.74
117551 117551 5.69
121509 121509 4.88
121909 121909 4.94
121455 121455 5.14
121499 121499 5.27
117425 117425 5.43
121223 121223 5.63
117426 117426 4.76
121898 121898 4.84
121631 121631 5.23
117475 117475 6.18
117494 117494 4.65
121559 121559 5.69
121324 121324 5.16
121155 121155 5.2
121114 121114 5.19
121270 121270 5.51
120849 120849 5.65
121117 121117 6.31
121447 121447 6.3
120966 120966 5.26
121181 121181 6.17
120955 120955 5.34
121473 121473 4.79
121495 121495 5.58
121376 121376 5.31
120935 120935 5.45
121055 121055 5.2
121018 121018 5.4
120915 120915 5.19
120901 120901 5.36
121276 121276 5.32
120931 120931 5.22
120851 120851 5.49
117505 117505 6.7
121382 121382 5.43
121441 121441 5.14
121008 121008 5.4
121277 121277 4.69
120881 120881 5.3
120896 120896 5.43
121120 121120 5.67
121097 121097 5.33
117434 117434 5.2
120910 120910 5.53
120995 120995 5.28
120969 120969 6.11
121109 121109 5.36
120978 120978 5.51
120869 120869 5.59
120934 120934 5
120911 120911 5.61
121033 121033 5.53
121895 121895 5.69
121057 121057 5.46
121060 121060 5.28
120907 120907 5.45
121007 121007 5.42
121148 121148 6.16
121078 121078 5.58
121046 121046 5.17
121071 121071 6.14
121107 121107 5.5
121238 121238 7.01
121224 121224 5.58
121205 121205 6.22
120961 120961 4.77
121893 121893 5.55
120894 120894 5.33
121206 121206 5.36
121878 121878 5.66
121026 121026 5.32
117429 117429 5.39
121197 121197 6.27
121590 121590 5.28
121678 121678 6.21
121089 121089 6.7
121076 121076 6.81
121871 121871 5.69
121085 121085 5.66
121916 121916 6.94
120983 120983 6.71
120919 120919 6.78
120916 120916 6.7
120985 120985 7.01
121053 121053 6.59
121651 121651 5.6
120981 120981 6.64
120973 120973 5.38
120880 120880 5.53
120982 120982 6.75
120971 120971 5.32
121166 121166 5.67
121176 121176 5.34
121164 121164 5.42
121162 121162 5.66
121159 121159 5.41
121157 121157 5.75
120972 120972 5.56
121070 121070 6.31
121140 121140 6.79
121049 121049 5.42
120939 120939 6.44
121437 121437 4.8
121684 121684 6.94
121072 121072 5.62
121901 121901 5.76
121165 121165 5.35
121105 121105 6.42
121446 121446 6.34
121158 121158 5.32
121011 121011 5.37
121077 121077 5.17
121438 121438 4.67
121041 121041 4.55
121094 121094 5.38
121024 121024 5.43
121010 121010 5.52
121911 121911 5.56
121430 121430 6.69
121532 121532 6.51
121131 121131 5.65
121514 121514 5.6
121142 121142 7
121421 121421 5.48
121020 121020 6.87
121422 121422 5.81
120924 120924 6.59
117460 117460 5.45
121283 121283 5.18
121671 121671 5.75
120959 120959 6.52
120856 120856 5.74
120952 120952 6.31
117547 117547 5.72
121868 121868 5.72
121663 121663 7.11
120914 120914 5.77
121247 121247 6.42
121064 121064 5.29
121042 121042 6.55
121087 121087 5.31
121080 121080 6.44
120904 120904 5.47
121527 121527 5.68
121677 121677 4.71
121936 121936 6.57
121019 121019 6.09
121479 121479 5.01
121161 121161 5.56
121027 121027 5.53
121311 121311 5.2
120964 120964 6.67
117455 117455 6.75
121083 121083 5.38
121388 121388 6.5
121390 121390 6.57
121418 121418 6.37
121170 121170 6.44
121325 121325 5.72
121392 121392 5.83
120947 120947 6.66
120879 120879 5.34
117521 117521 6.18
121689 121689 6.44
117567 117567 6.07
121807 121807 6.3
117549 117549 5.69
121147 121147 6.92
121023 121023 4.88
121870 121870 5.59
121090 121090 5.63
121034 121034 6.16
121297 121297 6.3
117560 117560 6.52
121258 121258 5.49
121406 121406 5.58
121808 121808 5.29
117574 117574 6.99
121448 121448 6.58
121863 121863 6.97
121062 121062 6.37
121030 121030 6.89
121245 121245 6.52
121889 121889 6.56
121118 121118 6.56
121015 121015 6.55
121074 121074 6.8
121035 121035 6.13
121099 121099 6.1
121063 121063 5.76
121066 121066 5.68
121137 121137 6.4
121674 121674 6.84
120871 120871 5.43
121555 121555 5.27
121171 121171 5.71
121172 121172 5.63
121434 121434 5.36
121679 121679 6.73
121353 121353 6.82
121503 121503 5.79
121091 121091 6.47
121643 121643 5.66
120913 120913 5.78
121299 121299 6.48
120909 120909 5.65
121098 121098 5.77
121881 121881 5.66
121104 121104 5.42
117501 117501 6.2
121622 121622 5.82
121044 121044 5.42
121623 121623 5.46
121621 121621 6.9
121894 121894 5.56
121885 121885 5.48
121139 121139 5.32
121146 121146 6.34
121919 121919 5.49
121110 121110 5.47
121921 121921 5.36
121639 121639 5.62
121884 121884 5.47
121217 121217 5.29
120951 120951 5.07
121611 121611 5.17
121920 121920 5.64
121225 121225 5.44
121912 121912 5.57
120861 120861 5.43
121922 121922 5.64
117457 117457 6.33
121928 121928 5.11
121872 121872 5.41
117447 117447 6.13
121596 121596 5.74
121145 121145 5.65
120895 120895 5.51
117545 117545 5.33
121228 121228 5.55
121641 121641 6.32
121908 121908 5.23
121192 121192 6.66
117454 117454 5.37
117470 117470 6.62
121552 121552 4.67
121286 121286 5.57
121282 121282 5.31
121338 121338 5.61
121334 121334 5.2
121309 121309 5.25
121329 121329 6.42
121374 121374 5.37
121358 121358 4.54
121459 121459 6.67
121355 121355 5.46
121504 121504 4.98
121367 121367 5.14
121281 121281 6.32
121326 121326 4.97
121239 121239 6.29
121289 121289 4.91
121544 121544 5.79
121542 121542 5.43
121687 121687 5.61
121513 121513 5.77
121345 121345 5.31
121866 121866 4.87
121543 121543 5.14
121248 121248 4.94
121312 121312 5.42
121554 121554 5.1
121508 121508 5.13
121494 121494 4.63
121403 121403 5.65
121397 121397 4.95
121249 121249 5.48
121280 121280 4.89
121640 121640 5.31
121550 121550 4.88
121439 121439 4.51
121279 121279 5.51
121452 121452 5.11
121688 121688 5.18
121548 121548 4.8
121442 121442 5.16
121246 121246 5.42
121517 121517 5.1
121657 121657 6.38
121305 121305 5.36
121502 121502 4.86
121436 121436 4.74
117420 117420 4.67
121304 121304 4.98
121458 121458 5.19
121531 121531 7.06
121354 121354 4.64
121501 121501 4.89
121307 121307 5.27
121303 121303 4.75
121522 121522 5.38
121457 121457 5.07
121351 121351 4.59
121451 121451 5.21
121571 121571 5.37
121184 121184 5.81
121214 121214 5.16
121568 121568 4.87
121587 121587 4.68
121565 121565 5.16
121603 121603 5.17
121219 121219 5.22
121226 121226 5.45
121213 121213 4.74
121579 121579 5.68
121204 121204 5.41
121574 121574 5.15
121183 121183 5.16
121561 121561 5.61
121218 121218 4.84
121222 121222 5.29
121562 121562 5.18
121201 121201 6.62
117553 117553 4.55
121592 121592 5.07
121537 121537 6.77
121646 121646 6.95
121525 121525 6.72
121483 121483 6.87
121315 121315 6.5
121526 121526 6.19
121490 121490 6.77
121613 121613 6.64
121612 121612 6.73
121302 121302 6.55
121906 121906 6.85
121529 121529 6.73
121914 121914 6.92
121356 121356 4.82
121340 121340 4.84
121666 121666 6.77
121360 121360 6.78
121762 121762 6.81
121918 121918 6.17
121241 121241 6.99
121371 121371 5.63
121656 121656 6.72
121268 121268 6.33
121534 121534 6.66
121470 121470 6.46
121327 121327 6.77
121373 121373 5.55
121781 121781 5.45
121333 121333 5.37
121540 121540 5.18
121348 121348 5.35
121344 121344 5.62
121456 121456 5.75
121486 121486 5.77
121339 121339 6.77
121328 121328 6.3
121524 121524 5.76
121427 121427 6.63
121601 121601 6.75
121665 121665 7.08
121412 121412 5.73
121670 121670 5.64
121301 121301 6.69
121399 121399 6.99
121342 121342 6.77
121484 121484 5.16
121676 121676 6.77
121346 121346 5.73
121903 121903 5.79
121535 121535 5.75
121296 121296 6.99
121648 121648 5.7
121625 121625 5.68
121498 121498 6.92
121512 121512 5.24
121877 121877 5.35
121469 121469 6.56
121287 121287 5.81
121357 121357 4.73
121658 121658 6.8
121292 121292 5.78
121475 121475 6.37
121378 121378 6.68
121802 121802 5.67
121488 121488 6.84
121776 121776 5.77
121668 121668 6.77
121692 121692 5.53
121445 121445 5.37
121259 121259 4.67
121886 121886 5.44
121454 121454 5.59
121873 121873 5.55
121700 121700 5.72
121300 121300 6.87
121395 121395 6.67
121669 121669 6.58
121664 121664 5.61
117451 117451 6.18
117449 117449 6.14
121377 121377 5.67
121415 121415 5.43
121322 121322 5.49
121482 121482 6.68
121269 121269 5.68
121409 121409 6.84
117568 117568 6.52
121278 121278 6.38
121523 121523 6.49
121787 121787 5.73
121931 121931 5.76
121539 121539 5.43
121791 121791 6.34
121285 121285 6.57
121244 121244 5.22
121923 121923 4.63
121485 121485 5.34
121295 121295 5.53
117571 117571 6.74
121917 121917 5.27
121496 121496 5.77
121690 121690 5.54
121939 121939 5.8
121404 121404 6.7
121551 121551 4.7
121869 121869 5.53
121905 121905 5.55
121510 121510 6.9
121453 121453 5.75
121389 121389 5.33
121424 121424 5.68
121386 121386 5.68
117450 117450 6.22
121396 121396 5.44
121414 121414 5.67
121460 121460 5.29
117517 117517 4.75
121444 121444 6.5
121682 121682 6.97
121493 121493 6.65
121423 121423 6.71
121256 121256 4.86
121391 121391 7.11
121433 121433 5.84
121363 121363 6.88
121927 121927 6.74
121933 121933 6.73
121926 121926 5.76
121925 121925 5.4
121230 121230 5.3
121190 121190 6.62
121739 121739 5.45
121938 121938 5.29
121182 121182 6.8
121584 121584 5.18
121932 121932 6.35
121595 121595 5.27
121904 121904 5.33
121581 121581 5.56
121924 121924 4.7
117462 117462 5.46
121202 121202 5.72
121563 121563 5.54
121635 121635 6.69
121907 121907 5.63
121580 121580 5.67
121585 121585 5.27
121910 121910 5.69
121208 121208 6.85
121644 121644 5.19
121577 121577 4.79
121221 121221 5.72
121210 121210 5.6
121567 121567 6.66
117539 117539 6.43
117513 117513 5.6
121195 121195 5.42
121575 121575 5.24
121572 121572 5.65
121940 121940 5.63
121193 121193 5.72
121212 121212 5.7
121474 121474 6.49
121887 121887 6.9
121573 121573 5.34
121216 121216 6.44
121385 121385 6.5
121859 121859 5.8
117596 117596 6.77
121784 121784 5.76
121734 121734 6.34
121783 121783 6.96
121718 121718 5.01
121782 121782 6.94
121828 121828 6.57
121732 121732 6.56
121790 121790 5.61
121789 121789 6.29
121697 121697 6.66
121702 121702 6.73
121745 121745 6.64
121703 121703 6.44
121824 121824 5.46
121792 121792 6.89
121713 121713 6.49
121822 121822 5.68
121726 121726 6.92
121712 121712 5.87
121780 121780 6.72
121815 121815 5.46
121813 121813 6.33
121719 121719 6.94
121777 121777 6.63
121740 121740 6.77
121806 121806 5.3
121733 121733 6.54
121814 121814 7.02
121704 121704 5.68
121723 121723 5.68
121731 121731 4.86
121831 121831 5.69
121800 121800 5.8
121860 121860 5.44
121826 121826 5.55
121747 121747 5.66
121710 121710 5.52
121823 121823 6.22
121717 121717 5.74
121830 121830 6.23
121778 121778 5.21
121774 121774 6.75
121804 121804 5.69
121738 121738 7.1
121794 121794 6.41
121725 121725 5.59
121851 121851 7.07
121799 121799 6.28
121722 121722 6.73
121811 121811 5.69
121853 121853 7
121748 121748 6.88
121752 121752 5.7
121812 121812 6.53
121847 121847 6.48
121771 121771 6.52
121854 121854 6.8
121785 121785 4.47
121855 121855 6.45
121850 121850 7.09
121753 121753 6.36
121829 121829 5.61
121835 121835 6.19
121760 121760 5.71
121834 121834 6.31
121705 121705 5.77
121857 121857 6.72
121840 121840 5.78
121751 121751 6.63
121844 121844 6.86
121708 121708 5.84
121809 121809 6.92
121763 121763 5.76
121759 121759 6.56
121742 121742 6.95
121698 121698 6.71
121699 121699 5.79
121761 121761 6.2
121842 121842 6.84
121746 121746 5.88
121833 121833 6.76
121754 121754 6.64
121796 121796 5.67
121803 121803 5.38
121767 121767 6.56
121769 121769 5.77
121838 121838 5.51
121772 121772 5.78
121766 121766 6.61
121775 121775 5.87
121805 121805 7.11
121758 121758 5.71
121749 121749 6.56
121764 121764 6.43
121755 121755 6.76
121779 121779 6.35
121714 121714 5.67
121861 121861 6.94
121736 121736 6.95
121770 121770 6.34
121696 121696 6.86
121825 121825 5.65
121724 121724 5.72
121737 121737 5.55
121810 121810 5.79
121727 121727 6.58
121841 121841 5.72
121730 121730 6.15
121765 121765 6.42
121837 121837 5.87
121768 121768 5.62
121801 121801 5.7
121793 121793 6.25
117478 117478 5.52
117520 117520 6.39
117525 117525 5.35
117533 117533 5.51
117555 117555 5.38
117559 117559 6.28
117564 117564 5.18
120970 120970 5.55
120984 120984 5.63
121122 121122 5.76
121591 121591 5.69
121701 121701 5.74
121846 121846 7.31
117440 117440 4.81
117492 117492 4.42
117542 117542 6.08
121200 121200 5.74
121211 121211 5.66
121257 121257 4.7
121267 121267 5.54
121293 121293 5.58
121365 121365 6.75
121368 121368 6.66
121405 121405 6.52
121450 121450 5.7
121461 121461 7.02
121463 121463 5.67
121477 121477 5.22
121549 121549 5.29
121583 121583 5.66
121600 121600 6.63
121649 121649 6.87
121685 121685 6.88
121728 121728 7.09
121786 121786 5.8
121875 121875 5.48
121876 121876 5.52
121882 121882 4.86
121930 121930 5.6
117512 117512 5.52
121464 121464 5.63
121516 121516 4.73
121667 121667 4.73
121711 121711 5.08
121720 121720 5.76
121797 121797 6.4
121874 121874 6.62
117502 117502 5.49
121187 121187 6.23
121207 121207 5.38
121220 121220 5.64
121234 121234 5.58
121272 121272 5.15
121598 121598 5.35
121913 121913 5.46
117453 117453 5.45
117588 117588 5.35
120877 120877 6.3
120886 120886 6.72
120920 120920 5.31
120976 120976 6.86
121002 121002 6.63
121017 121017 5.41
121081 121081 6.82
121232 121232 5.16
121588 121588 5.35
117459 117459 5.51
120850 120850 5.06
120918 120918 6.37
120962 120962 5.21
121009 121009 6.49
121073 121073 5.72
120893 120893 5.41
121059 121059 4.32
120979 120979 6.7
121106 121106 5.36
121092 121092 5.32
121028 121028 5.83
121045 121045 6.5
121095 121095 5.69
120863 120863 6.27
121163 121163 5.35
121156 121156 5.72
121827 121827 6.48
121642 121642 5.17
121839 121839 5.37
121505 121505 4.71
121832 121832 5.6
121402 121402 5.17
121558 121558 6.99
121675 121675 7.13
121672 121672 6.93
121310 121310 5.16
121341 121341 5.8
121744 121744 6.84
121361 121361 6.6
121694 121694 5.47
117593 117593 5.52
121798 121798 5.33
121741 121741 4.8
121331 121331 5.63
121298 121298 6.33
121252 121252 5.23
121380 121380 5.23
121186 121186 5.43
121185 121185 5.05
120872 120872 5.4
121128 121128 6.72
120864 120864 6.27
121134 121134 5.42
120891 120891 5.39
121036 121036 5.65
121058 121058 5.37
120889 120889 5.56
117585 117585 5.69
120999 120999 4.77
121013 121013 5.31
121096 121096 5.39
120858 120858 6.79
120965 120965 5.41
120899 120899 5.01
120903 120903 6.61
120974 120974 5.08
121039 121039 5.28
121088 121088 6.89
121608 121608 6.62
121261 121261 5.58
121411 121411 5.15
121320 121320 6.79
121627 121627 5.51
121410 121410 5.74
121398 121398 5.29
121683 121683 6.99
121306 121306 5.58
121660 121660 4.63
121349 121349 6.93
121929 121929 5.05
121647 121647 6.92
121515 121515 5.45
121586 121586 5.66
121362 121362 6.96
121569 121569 6.94
121191 121191 6.65
121609 121609 6.7
121196 121196 5.48
121521 121521 5.43
121650 121650 5.78
120988 120988 7.06
121237 121237 7
120892 120892 5.73
120862 120862 5.49
121124 121124 6.65
121420 121420 5.02
120977 120977 6.85
121136 121136 5.47
121359 121359 6.8
121290 121290 5.62
121735 121735 6.81
121706 121706 6.59
121462 121462 5.81
121605 121605 5.46
121560 121560 5.29
121335 121335 5.69
120888 120888 5.37
120953 120953 6.4
121067 121067 5.5
121108 121108 5.2
121123 121123 6.63
121000 121000 5.31
121056 121056 5.34
121174 121174 5.76
121150 121150 5.68
120954 120954 5.52
121004 121004 5.41
121135 121135 6.23
121112 121112 6.28
120905 120905 7.05
120930 120930 5.43
